Customer_ID,Test_Group,Initial_Discount,Initial_ARR,Discounted_ARR,Renewal_Status,Customer_Segment
41,A,10.0,25281.33,22753.20,1,Enterprise
42,A,10.0,24841.53,22357.38,1,Enterprise
43,A,10.0,18059.27,16253.34,1,Mid
44,A,10.0,15291.60,13762.44,1,Mid
45,A,10.0,27727.60,24954.84,0,Enterprise
46,A,10.0,29107.50,26196.75,0,Enterprise
47,A,10.0,9967.65,8970.88,1,Small
48,A,10.0,27195.96,24476.36,1,Enterprise
49,A,10.0,9041.80,8137.62,1,Small
50,A,10.0,15757.24,14181.52,1,Mid
51,A,10.0,19566.27,17609.64,0,Mid
52,A,10.0,23069.97,20762.97,1,Mid
53,A,10.0,19453.79,17508.41,1,Mid
54,A,10.0,16524.79,14872.31,1,Mid
55,A,10.0,20582.43,18524.19,1,Mid
56,A,10.0,25287.41,22758.67,1,Enterprise
57,A,10.0,27907.41,25116.67,1,Enterprise
58,A,10.0,15264.44,13738.00,0,Mid
59,A,10.0,26875.59,24188.03,0,Enterprise
60,A,10.0,7674.31,6906.88,1,Small
61,A,10.0,10931.39,9838.25,1,Small
62,A,10.0,18809.80,16928.82,0,Mid
63,A,10.0,10080.46,9072.41,1,Small
64,A,10.0,22985.45,20686.91,1,Mid
65,A,10.0,18398.92,16559.03,0,Mid
66,A,10.0,27375.92,24638.33,1,Enterprise
67,A,10.0,24684.23,22215.81,1,Enterprise
68,A,10.0,17293.42,15564.08,0,Mid
69,A,10.0,11993.47,10794.12,1,Small
70,A,10.0,22811.83,20530.65,0,Mid
71,A,10.0,26879.37,24191.43,1,Enterprise
72,A,10.0,19572.71,17615.44,1,Mid
73,A,10.0,15019.53,13517.58,1,Mid
74,A,10.0,28537.49,25683.74,1,Enterprise
75,A,10.0,24546.61,22091.95,0,Enterprise
76,A,10.0,17855.98,16070.38,1,Mid
77,A,10.0,12885.57,11597.01,1,Mid
78,A,10.0,28821.58,25939.42,0,Enterprise
79,A,10.0,25086.13,22577.52,1,Enterprise
80,A,10.0,29767.89,26791.10,1,Enterprise
81,A,10.0,23049.26,20744.33,1,Mid
82,A,10.0,16523.51,14871.16,1,Mid
83,A,10.0,11990.15,10791.13,1,Small
84,A,10.0,26980.59,24282.53,0,Enterprise
85,A,10.0,7959.06,7163.15,1,Small
86,A,10.0,27177.30,24459.57,0,Enterprise
87,A,10.0,17711.66,15940.49,1,Mid
88,A,10.0,28854.76,25969.28,1,Enterprise
89,A,10.0,22409.90,20168.91,1,Mid
90,A,10.0,22989.17,20690.25,1,Mid
91,A,10.0,21190.17,19071.15,1,Mid
92,A,10.0,22416.73,20175.06,1,Mid
93,A,10.0,26667.62,24000.86,0,Enterprise
94,A,10.0,20731.85,18658.67,1,Mid
95,A,10.0,15510.14,13959.13,1,Mid
96,A,10.0,12174.19,10956.77,1,Small
97,A,10.0,25066.82,22560.14,1,Enterprise
98,A,10.0,20680.12,18612.11,0,Mid
99,A,10.0,23743.08,21368.77,1,Mid
100,A,10.0,29618.33,26656.50,0,Enterprise
101,B,25.0,23671.39,17753.54,0,Mid
102,B,25.0,24846.10,18634.57,1,Enterprise
103,B,25.0,19213.97,14410.48,0,Mid
104,B,25.0,14722.51,11041.88,1,Mid
105,B,25.0,14674.39,11005.79,1,Mid
106,B,25.0,13554.74,10166.06,1,Mid
107,B,25.0,9191.13,6893.35,1,Small
108,B,25.0,19794.70,14846.03,0,Mid
109,B,25.0,28087.67,21065.75,0,Enterprise
110,B,25.0,23212.10,17409.08,1,Mid
111,B,25.0,15456.98,11592.73,0,Mid
112,B,25.0,16524.47,12393.35,0,Mid
113,B,25.0,26806.96,20105.22,1,Enterprise
114,B,25.0,12243.61,9182.71,0,Mid
115,B,25.0,28434.93,21326.20,1,Enterprise
116,B,25.0,27727.42,20795.56,0,Enterprise
117,B,25.0,25282.87,18962.15,0,Enterprise
118,B,25.0,24846.04,18634.53,1,Enterprise
119,B,25.0,19566.21,14674.66,1,Mid
120,B,25.0,23070.78,17303.08,0,Mid
121,B,25.0,19454.49,14590.87,1,Mid
122,B,25.0,20583.56,15437.67,1,Mid
123,B,25.0,25287.41,18965.56,0,Enterprise
124,B,25.0,27908.48,20931.36,1,Enterprise
125,B,25.0,26875.98,20156.98,0,Enterprise
126,B,25.0,24684.81,18513.61,0,Enterprise
127,B,25.0,27376.10,20532.08,1,Enterprise
128,B,25.0,28821.73,21616.30,1,Enterprise
129,B,25.0,25086.58,18814.93,0,Enterprise
130,B,25.0,29767.92,22325.94,1,Enterprise
131,B,25.0,11762.59,8821.94,1,Small
132,B,25.0,16523.51,12392.63,0,Mid
133,B,25.0,22410.23,16807.67,1,Mid
134,B,25.0,22989.17,17241.88,1,Mid
135,B,25.0,21190.17,15892.63,1,Mid
136,B,25.0,22416.73,16812.55,0,Mid
137,B,25.0,26667.75,20000.81,1,Enterprise
138,B,25.0,20732.17,15549.13,0,Mid
139,B,25.0,15510.14,11632.61,1,Mid
140,B,25.0,12174.19,9130.64,1,Small
141,B,25.0,25066.82,18799.11,0,Enterprise
142,B,25.0,20680.12,15510.09,1,Mid
143,B,25.0,23743.08,17807.31,0,Mid
144,B,25.0,29618.33,22213.75,1,Enterprise
145,B,25.0,16641.51,12481.13,1,Mid
146,B,25.0,18882.26,14161.70,1,Mid
147,B,25.0,29202.83,21902.12,0,Enterprise
148,B,25.0,12502.50,9376.88,0,Small
149,B,25.0,16008.27,12006.20,1,Mid
150,B,25.0,21711.12,16283.34,0,Mid
151,B,25.0,27748.27,20811.20,0,Enterprise
152,B,25.0,15456.91,11592.68,1,Mid
153,B,25.0,7242.02,5431.51,1,Small
154,B,25.0,14349.52,10762.14,1,Mid
155,B,25.0,18370.43,13777.82,0,Mid
156,B,25.0,12480.93,9360.70,1,Small
157,B,25.0,24424.31,18318.23,0,Enterprise
158,B,25.0,29624.77,22218.58,1,Enterprise
159,B,25.0,13123.64,9842.73,1,Mid
160,B,25.0,9197.80,6898.35,0,Small
161,B,25.0,13661.16,10245.87,1,Mid
162,B,25.0,19803.95,14852.96,0,Mid
163,B,25.0,20937.19,15702.89,1,Mid
164,B,25.0,19176.62,14382.47,1,Mid
165,B,25.0,28147.28,21110.46,0,Enterprise
166,B,25.0,22756.91,17067.68,1,Mid
167,B,25.0,17255.48,12941.61,0,Mid
168,B,25.0,25281.33,18960.99,1,Enterprise
169,B,25.0,24841.53,18631.15,0,Enterprise
170,B,25.0,18059.27,13544.45,1,Mid
171,B,25.0,15291.60,11468.70,1,Mid
172,B,25.0,27727.60,20795.70,0,Enterprise
173,B,25.0,29107.50,21830.62,0,Enterprise
174,B,25.0,9967.65,7475.74,1,Small
175,B,25.0,27195.96,20396.97,0,Enterprise
176,B,25.0,9041.80,6781.35,1,Small
177,B,25.0,15757.24,11817.93,1,Mid
178,B,25.0,19566.27,14674.70,0,Mid
179,B,25.0,23069.97,17302.48,1,Mid
180,B,25.0,19453.79,14590.34,1,Mid
181,B,25.0,16524.79,12393.59,0,Mid
182,B,25.0,20582.43,15436.82,0,Mid
183,B,25.0,25287.41,18965.56,1,Enterprise
184,B,25.0,27907.41,20930.56,0,Enterprise
185,B,25.0,15264.44,11448.33,1,Mid
186,B,25.0,26875.59,20156.69,0,Enterprise
187,B,25.0,7674.31,5755.73,1,Small
188,B,25.0,10931.39,8198.54,0,Small
189,B,25.0,18809.80,14107.35,1,Mid
190,B,25.0,10080.46,7560.35,1,Small
191,B,25.0,22985.45,17239.09,1,Mid
192,B,25.0,18398.92,13799.19,0,Mid
193,B,25.0,27375.92,20531.94,0,Enterprise
194,B,25.0,24684.23,18513.17,1,Enterprise
195,B,25.0,17293.42,12970.06,1,Mid
196,B,25.0,11993.47,8995.10,1,Small
197,B,25.0,22811.83,17108.87,0,Mid
198,B,25.0,26879.37,20159.53,1,Enterprise
199,B,25.0,19572.71,14679.53,0,Mid
200,B,25.0,15019.53,11264.65,1,Mid
